observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Longitude,Latitude,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação do solo,Classe de relevo local,Elevação acima do nível do mar,Declividade,Posição na paisagem
#metadado>,-,-,m,m,m,-,-,-,-,-,-,m^2,-,-,m,%,-
L100,xx-xx-2011,EPSG:29192,495.021,7.410.499,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A chernozêmico",forte ondulado,423,29,terço médio
L101,xx-xx-2011,EPSG:29192,495.094,7.416.660,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,428,5,terço médio
L102,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Eutrófico típico, textura argilosa, A moderado, fase substrato eruptiva básica",ondulado,540,15,terço superior
L103,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Gleissolo Melânico, textura argilosa, A moderado, fase soterrada",plano,-,0,baixada
L104,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Cambissolo Háplico Tb Eutrófico gleissólico, textura argilosa, A moderado",plano,500,0,baixada
L105,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A chernozêmico",suave ondulado,-,7,terço médio
L106,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico léptico, textura argilosa, A moderado",ondulado,-,17,terço médio
L107,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,470,7,terço inferior
L108,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,520,15,terço médio
33,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Distrófico típico, textura média, A moderado, fase pedregosa",ondulado,-,-,terço inferior
34,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Cambissolo Háplico Tb Distrófico típico, textura média, A moderado, fase pedregosa",montanhoso,-,-,terço médio
35,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Cambissolo Háplico Tb Distrófico típico, textura média, A moderado, fase pedregosa",montanhoso,-,-,terço médio
36,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Distrófico típico, textura média, A moderado, fase pedregosa",montanhoso,-,-,terço inferior
37,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Cambissolo Háplico Tb Distrófico típico, textura média, A moderado, fase pedregosa",forte ondulado,-,25,terço médio
38,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico típico, textura média, A moderado, fase pedregosa",montanhoso,-,-,terço médio
